DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
CANTINA CAQUERIA & TEQUILIA BAR,2099,FREDERICK DOUGLASS BOULEVARD,Manhattan,10026,2099 FREDERICK DOUGLASS BOULEVARD Manhattan 10026,"2099 frederick douglass boulevard manhattan, ny 10026",Mexican,8/16/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,B,8/16/23,12/4/23,0,0
ZONA TRIBECA MEZCALERIA,353,GREENWICH STREET,Manhattan,10013,353 GREENWICH STREET Manhattan 10013,"353 greenwich street manhattan, ny 10013",Mexican,8/31/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,0,A,8/31/22,12/4/23,40.7186919,-74.010408
CASA CARMEN,114,FRANKLIN STREET,Manhattan,10013,114 FRANKLIN STREET Manhattan 10013,"114 franklin street manhattan, ny 10013",Mexican,5/10/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,5/10/23,12/4/23,40.7186263,-74.006082
LA CHULA,137,EAST 116 STREET,Manhattan,10029,137 east 116 STREET Manhattan 10029,"137 east 116 street manhattan,ny 10029",Mexican,4/7/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,9,A,4/7/22,12/4/23,40.798756,-73.941929
TACO BELL,1266,1 AVENUE,Manhattan,10065,1266 1 avenue Manhattan 10065,"1266 1st avenue manhattan, ny 10065",Mexican,11/2/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,11/2/22,12/4/23,40.7653702,-73.957759
OFRENDA,113,7 AVENUE SOUTH,Manhattan,10014,113 7 avenue SOUTH Manhattan 10014,"113 7th avenue south manhattan,ny 10014",Mexican,4/18/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,4/18/23,12/4/23,40.7338791,-74.002634
EL PASO TAQUERIA,64,EAST 97 STREET,Manhattan,10029,64 east 97 STREET Manhattan 10029,64 east 97th street manhattan 10029,Mexican,11/21/22,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,22,B,11/21/22,12/4/23,40.7874718,-73.952682
SINIGUAL,640,3 AVENUE,Manhattan,10017,640 3 avenue Manhattan 10017,"640 3rd avenue manhattan, ny 10017",Mexican,1/18/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,1/18/23,12/4/23,40.7501967,-73.974869
BISTRO CASA AZUL,343,PLEASANT AVENUE,Manhattan,10035,343 PLEASANT avenue Manhattan 10035,"343 pleasant avenue manhattan, ny 10035",Mexican,1/25/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,1/25/23,12/4/23,40.7964944,-73.932111
CHIPOTLE MEXICAN GRILL #3641uy;,350,5 AVENUE,Manhattan,10118,350 5 avenue Manhattan 10118,"350 5th avenue manhattan, ny 10118",Mexican,2/3/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,2/3/22,12/4/23,40.7482689,-73.98469
TOLOACHE,166,EAST 82 STREET,Manhattan,10028,166 east 82 STREET Manhattan 10028,"166 east 82 street manhattan, ny 10028",Mexican,3/10/23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,3/10/23,12/4/23,40.7765849,-73.956734
WHOLESOME TAQUERIA,503,MAIN STREET,Manhattan,10044,503 MAIN STREET Manhattan 10044,"503 main street manhattan, ny 10044",Mexican,11/15/22,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,11/15/22,12/4/23,40.7608963,-73.950867
DOS TOROS,137,4 AVENUE,Manhattan,10003,137 4 avenue Manhattan 10003,"137 4th avenue manhattan, ny 10003",Mexican,7/13/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,7,A,7/13/23,12/4/23,40.7336564,-73.989864
DOS TOROS,119,WEST 40 STREET,Manhattan,10018,119 WEST 40 STREET Manhattan 10018,"119 west 40th street manhattan, ny 10018",Mexican,4/24/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,7,A,4/24/23,12/4/23,40.7539699,-73.986028
CASA CARMEN,5,WEST 21 STREET,Manhattan,10010,5 WEST 21 STREET Manhattan 10010,"5 west 21st street manhattan, ny 10010",Mexican,8/10/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,8/10/23,12/4/23,40.7405046,-73.991087
MAD DOG & BEANS,83,PEARL STREET,Manhattan,10004,83 PEARL STREET Manhattan 10004,"83 pearl street manhattan, ny 10004",Mexican,1/17/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,9,A,1/17/23,12/4/23,40.7040485,-74.010153
TACO BELL,1266,1 AVENUE,Manhattan,10065,1266 1 avenue Manhattan 10065,"1266 1 avenue manhattan, ny 10065",Mexican,11/2/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,11/2/22,12/4/23,40.7653702,-73.957759
GREAT BURRITO RESTAURANT,100,WEST 23 STREET,Manhattan,10011,100 WEST 23 STREET Manhattan 10011,"100 west 23rd treet manhattan , ny 10011",Mexican,10/13/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10,A,10/13/22,12/4/23,40.7430739,-73.993237
FACTORY TAMAL,63,EAST 4 STREET,Manhattan,10003,63 east 4 STREET Manhattan 10003,"63 east 4th street manhattan, ny 10003",Mexican,4/3/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,9,A,4/3/23,12/4/23,40.7267177,-73.990663
TACOS GRAND CENTRAL,711,2 AVENUE,Manhattan,10016,711 2 avenue Manhattan 10016,"711 2nd avenue manhattan, ny 10016",Mexican,2/24/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,2/24/22,12/4/23,40.7474875,-73.973921
CASCALOTE LATIN BISTRO,2126,2 AVENUE,Manhattan,10029,2126 2 avenue Manhattan 10029,"2126 2nd avenue manhattan, ny 10029",Mexican,1/11/23,Violations were cited in the following area(s).,09A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",Not Critical,2,A,1/11/23,12/4/23,40.7927335,-73.94088
RUBY'S VINTAGE HARLEM,2340,7 AVENUE,Manhattan,10030,2340 7 avenue Manhattan 10030,"2340 7th avenue manhattan, ny 10030",Mexican,6/2/22,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,12,A,6/2/22,12/4/23,40.8166439,-73.94273
CANTINA CAQUERIA & TEQUILIA BAR,2099,FREDERICK DOUGLASS BOULEVARD,Manhattan,10026,2099 FREDERICK DOUGLASS BOULEVARD Manhattan 10026,"2099 frederick douglass boulevard manhattan, ny 10026",Mexican,8/16/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,27,B,8/16/23,12/4/23,0,0
EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029,1634 LEXINGTON avenue Manhattan 10029,"1634 lexington avenue manhattan, ny 10029",Mexican,5/3/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,26,B,5/3/23,12/4/23,40.7904065,-73.947628
EL COCO,202,8 AVENUE,Manhattan,10011,202 8 avenue Manhattan 10011,"202 8th avenue manhattan, ny 10011",Mexican,5/25/22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,5/25/22,12/4/23,40.7436038,-73.999697
SUMMER SALT,275,MADISON AVE,Manhattan,10016,275 MADISON AVE Manhattan 10016,"275 madison ave manhattan, ny 10016",Mexican,3/29/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,3/29/23,12/4/23,40.7512545,-73.979868
DOS CAMINOS,373,PARK AVENUE SOUTH,Manhattan,10016,373 PARK avenue SOUTH Manhattan 10016,"373 park avenue south manhattan, ny 10016",Mexican,2/8/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,2/8/22,12/4/23,40.7423677,-73.984757
TACO BELL,1501,BROADWAY,Manhattan,10036,1501 BROADWAY Manhattan 10036,"1501 broadway manhattan, ny 10036",Mexican,11/22/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,11/22/23,12/4/23,40.7570962,-73.986193
TORO LOCO,15,STONE STREET,Manhattan,10004,15 STONE STREET Manhattan 10004,"15 stone street manhattan, ny 10004",Mexican,8/9/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A,8/9/22,12/4/23,40.7040264,-74.012068
LOLITAS KITCHEN & BURGER HOUSE,1364,LEXINGTON AVENUE,Manhattan,10128,1364 LEXINGTON avenue Manhattan 10128,"1364 lexington avenue manhattan, ny 10128",Mexican,2/27/23,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,2/27/23,12/4/23,40.7822022,-73.953621
DOS TOROS,10,EAST 48 STREET,Manhattan,10017,10 east 48 STREET Manhattan 10017,"10 east 48th street manhattan, ny 10017",Mexican,9/20/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,9/20/23,12/4/23,40.7570125,-73.977502
EVA'S x CINCO DE MAYO,43,WEST 55 STREET,Manhattan,10019,43 WEST 55 STREET Manhattan 10019,"43 west 55th street manhattan, ny 10019",Mexican,11/7/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,11/7/22,12/4/23,40.7622795,-73.976363
TAQUERIA Y FONDA LA MEXICANA,968,AMSTERDAM AVENUE,Manhattan,10025,968 AMSTERDAM avenue Manhattan 10025,"968 amsterdam avenue manhattan, ny 10025",Mexican,2/8/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,27,B,2/8/23,12/4/23,40.8014552,-73.964971
TORTARIA,94,UNIVERSITY PLACE,Manhattan,10003,94 UNIVERSITY PLACE Manhattan 10003,"94 university place manhattan, ny 10003",Mexican,11/2/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,11/2/23,12/4/23,40.7337417,-73.992957
