#,Name,Rating,Phone,Price,Categories,Address
1,Luisa Cocina Mexicana,5,17164043469,,Mexican,"435 menahan street, brooklyn, ny 11237"
2,Jo’s Taco,5,16469984440,,Tacos,"226 east 14th street, manhattan, ny 10003"
3,Bobby’s Night Out,5,19172612159,,"New Mexican Cuisine, Breakfast & Brunch, Cocktail Bars","145 avenue c, manhattan, ny 10009"
4,Mama Lupita's Bistro,5,19179090522,,Mexican,"904 4th avenue, brooklyn, ny 11232"
5,Cruz Del Sur,4.5,13473651618,$$,"Tacos, Cocktail Bars","622 washington avenue, brooklyn, ny 11238"
6,Los Tacos No.1,4.5,12125744696,$$,Tacos,"229 west 43rd street, manhattan, ny 10036"
7,Xolo,4.5,19292980032,,Mexican,"29 dunham place, brooklyn, ny 11249"
8,Santa Fe BK,4.5,13477630279,,New Mexican Cuisine,"178 north 8th street, brooklyn, ny 11211"
9,Los Mariscos,4.5,12129204986,$$,"Mexican, Cocktail Bars","409 west 15th street, manhattan, ny 10011"
10,Los Tacos No.1,4.5,,$,Tacos,"340 lafayette street, manhattan, ny 10012"
11,Los Tacos No.1,4.5,,$$,Tacos,"75 9th avenue, manhattan, ny 10011"
12,5ive Spice,4.5,19174092605,$$,"Vietnamese, Tacos, Sandwiches","227 mulberry street manhattan, ny 10012"
13,Casa Carmen,4.5,19175405600,,"Mexican, Wine Bars, Cocktail Bars","5 west 21st street, manhattan, ny 10010"
14,Casa Nono,4.5,16467509156,,Mexican,"499 myrtle avenue, brooklyn, ny 11205"
15,Mitica,4.5,,,Mexican,"222 franklin street, brooklyn, ny 11222"
16,Home Made Taqueria,4.5,13475990090,,Mexican,"517 meeker avenue, brooklyn, ny 11222"
17,Taqueria Ramirez,4.5,,$$,Mexican,"94 franklin street, brooklyn, ny 11222"
18,La Diaspora,4.5,16467999379,,"Latin American, Cocktail Bars","91 baxter street, manhattan, ny 10013"
