Name,Formatted,Address,Author,Rating,Time,Review
Taqueria Coatzingo,"7605 Roosevelt Avenue, Queens, NY 11372, USA","7605 roosevelt avenue, queens, ny 11372, usa",RL,5,5 months ago,The chips and salsa are hands down one of the best I’ve ever had 🤤 I can’t stop eating! I found myself keep returning for their chips and shrimp tacos. Oh the tacos… they’re fresh made! Imagining hot shrimps with cheese and guac… yum😍
Taqueria Coatzingo,"7605 Roosevelt Avenue, Queens, NY 11372, USA","7605 roosevelt avenue, queens, ny 11372, usa",Julia Millot,5,5 months ago,Hands down the BEST shrimp tacos I’ve ever had in New York. Such a fun vibe - we enjoyed our spicy margaritas and the al pastor tacos were another big hit.
Taqueria Coatzingo,"7605 Roosevelt Avenue, Queens, NY 11372, USA","7605 roosevelt avenue, queens, ny 11372, usa",Leidy Hidalgo,4,a year ago,"Great food, generous portions, I loved that the tacos come with the guacamole. It was so delicious. There was so much variety on the menu. The service was great, very attentive and friendly staff. The only downside, from my experience, was the music was a bit loud so it was difficult to have a conversation. Besides that, the food was great. Definitely a family friendly restaurant."
Taqueria Coatzingo,"7605 Roosevelt Avenue, Queens, NY 11372, USA","7605 roosevelt avenue, queens, ny 11372, usa",Kat,4,3 months ago,Big portions and good food. Servers always have great attitudes no matter how late or drunk you come.
Taqueria Coatzingo,"7605 Roosevelt Avenue, Queens, NY 11372, USA","7605 roosevelt avenue, queens, ny 11372, usa",Li Ben,5,9 months ago,"Everything is awesome, from the free nachos and to the entree. Portions are big. We ordered 2 entrees for 2 people. We can't finish it. They have a bar, and seating are plenty. From the outside, we thought it's going to be a small restaurant with 15seats but when you go to the side of the resto, they have many more seats. Food was delicious."
Rosa Mexicano,"9 East 18th Street, New York, NY 10003, USA","9 east 18th street, manhattan, ny 10003",Tina Barker,5,2 months ago,"I was on holiday from the UK and I asked if we could eat Mexican food one day while I was there. We visited Rosa Mexicano and I can honestly say it was the most wonderful experience. The service and quality of food was exemplary. It is a bit of a long way to come back, but I most definitely will, the next time I am visiting. I also adored the frozen margaritas. Thank you for such a memorable time."
Rosa Mexicano,"9 East 18th Street, New York, NY 10003, USA","9 east 18th street, manhattan, ny 10003",Dorothy Gordon,5,in the last week,"I had planned to go somewhere but the website said opens at 2,they do not serve food until 4,very misleading  Lillies.
I saw the sign for Rosa,decided to try it. Was in the mood for a hamburger  the price was reasonable
WOW so happy I did. Greeted warmly,seated in a quiet spot. Terrific server,brought out sala,chips,immediately.
That hamburger I was in the mood for was delicious. Great dressing,just the right amount of heat. The Cucumber mint mocktail was very excellent. I will absolutely come back here."
Rosa Mexicano,"9 East 18th Street, New York, NY 10003, USA","9 east 18th street, manhattan, ny 10003",Running Man,5,2 weeks ago,A suprisingly excellent restaurant! The tacos and guacamole were excellent!  Service was friendly and responsive.  Venue had good vibes and it was clean. Will definitely come back again and recommend this to friends
Rosa Mexicano,"9 East 18th Street, New York, NY 10003, USA","9 east 18th street, manhattan, ny 10003",Stephanie Yoon,4,5 months ago,"Good food, fun atmosphere, friendly service. My friends and I came here to celebrate a birthday, and the host graciously let us move over to a booth once one opened up even after we were seated.

We ordered a pomegranate margarita, regular margarita, Italian Coke, and a sparkling water. Margaritas were strong and not too sweet, just the way I like it. We ordered the guacamole for an appetizer, which never disappoints.  For food, we ordered the enchiladas, fish tacos, and -I know this is going to sound like sacrilege- the cheeseburger with fries.  Everything was delicious.

This place has been one of our go-to restaurants for brunch, lunch and dinner for almost a decade.  Even though it seems to have changed in quality and style under new management, we still enjoyed ourselves.

Pro-tip: the tacos do not come with a side, so I would recommend ordering either rice or some veggies to complement any taco dishes.

All in all, I recommend coming to this casual and fun Mexican restaurant for celebratory events or a casual meal with friends.  Enjoy!"
Rosa Mexicano,"9 East 18th Street, New York, NY 10003, USA","9 east 18th street, manhattan, ny 10003",Olga Schmidt,5,5 months ago,"Great news is that they are open late and have very delicious food. The enchiladas and the nachos were both delicious and I recommend that you try both. Atmosphere is very good, comfortable booth with dim lighting. The waiter was very friendly and fast. We did get chips and salsa when we first sat down."
Los Tacos No.1,"229 West 43rd Street, New York, NY 10036, USA","229 west 43rd street, manhattan, ny 10036",Y,5,a week ago,"Best tacos in the US! Travelled all around the country and the entire menu is absolutely delicious and best I have had. Quality meat, ingredients, and toppings- you will taste the difference! I go out of my way to eat here when I’m in New York. You won’t be disappointed- unless you didn’t order enough the first time.
The wait times vary but it is just that, waiting in line. Once you make your purchase you get your food right away made right in front of you."
