#,Name,Rating,Phone,Price,Categories,Address,DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
,,,,,,"1 penn plaza manhattan, ny 10119",LUCY'S CANTINA ROYALE,1,PENN PLAZA,Manhattan,10119.0,1 PENN PLAZA Manhattan 10119,Mexican,11/15/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,11/15/22,12/4/23,40.7510913,-73.992926
,,,,,,"1 penn plaza manhattan, ny 10119",LUCY'S CANTINA ROYALE,1,PENN PLAZA,Manhattan,10119.0,1 PENN PLAZA Manhattan 10119,Mexican,11/15/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9.0,A,11/15/22,12/4/23,40.7510913,-73.992926
,,,,,,"1 state street manhattan, ny 10004",DOS TOROS,1,STATE STREET,Manhattan,10004.0,1 STATE STREET Manhattan 10004,Mexican,7/25/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13.0,A,7/25/23,12/4/23,40.7023877,-74.012948
,,,,,,"1 state street manhattan, ny 10004",DOS TOROS,1,STATE STREET,Manhattan,10004.0,1 STATE STREET Manhattan 10004,Mexican,7/25/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,7/25/23,12/4/23,40.7023877,-74.012948
102.0,Tampico NYC,5.0,,,"Mexican, Sports Bars, Cocktail Bars","10 delancey street, manhattan, ny 10002",,,,,,,,,,,,,,,,,,
,,,,,,"10 east 48th street manhattan, ny 10017",DOS TOROS,10,EAST 48 STREET,Manhattan,10017.0,10 east 48 STREET Manhattan 10017,Mexican,9/20/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,9.0,A,9/20/23,12/4/23,40.7570125,-73.977502
,,,,,,"10 east 48th street manhattan, ny 10017",DOS TOROS,10,EAST 48 STREET,Manhattan,10017.0,10 east 48 STREET Manhattan 10017,Mexican,9/20/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,9/20/23,12/4/23,40.7570125,-73.977502
,,,,,,"10 east 48th street manhattan, ny 10017",DOS TOROS,10,EAST 48 STREET,Manhattan,10017.0,10 east 48 STREET Manhattan 10017,Mexican,9/20/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,9/20/23,12/4/23,40.7570125,-73.977502
,,,,,,"100 pearl street manhattan, ny 10004",GABRIELA'S COCINA DE MEXICO,100,PEARL STREET,Manhattan,10004.0,100 PEARL STREET Manhattan 10004,Mexican,4/26/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,4/26/23,12/4/23,40.7042791,-74.009785
,,,,,,"100 west 23rd street manhattan, ny 10011",GREAT BURRITO RESTAURANT,100,WEST 23 STREET,Manhattan,10011.0,100 WEST 23 STREET Manhattan 10011,Mexican,10/13/22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,10.0,A,10/13/22,12/4/23,40.7430739,-73.993237
