#,Name,Rating,Address,Phone,Price,Categories
1,Luisa Cocina Mexicana,5.0,"435 Menahan St, New York, NY 11237",+17164043469,N/A,Mexican
2,Jo’s Taco,5.0,"226 E 14th St, New York, NY 10003",+16469984440,N/A,Tacos
3,Bobby’s Night Out,5.0,"145 Ave C, New York, NY 10009",+19172612159,N/A,"New Mexican Cuisine, Breakfast & Brunch, Cocktail Bars"
4,Mama Lupita's Bistro,5.0,"904 4th Ave, Brooklyn, NY 11232",+19179090522,N/A,Mexican
5,Cruz Del Sur,4.5,"622 Washington Ave, Brooklyn, NY 11238",+13473651618,$$,"Tacos, Cocktail Bars"
6,Los Tacos No.1,4.5,"229 W 43rd St, New York, NY 10036",+12125744696,$$,Tacos
7,Xolo,4.5,"29 Dunham Pl, Brooklyn, NY 11249",+19292980032,N/A,Mexican
8,Santa Fe BK,4.5,"178 N 8th St, Brooklyn, NY 11211",+13477630279,N/A,New Mexican Cuisine
9,Los Mariscos,4.5,"409 W 15th St, New York, NY 10011",+12129204986,$$,"Mexican, Cocktail Bars"
10,Los Tacos No.1,4.5,"340 Lafayette St, New York, NY 10012",,$,Tacos
11,Los Tacos No.1,4.5,"75 9th Ave, Chelsea Market, New York, NY 10011",,$$,Tacos
12,5ive Spice,4.5,"227 Mulberry St, New York, NY 10012",+19174092605,$$,"Vietnamese, Tacos, Sandwiches"
13,Casa Carmen,4.5,"5 W 21st St, New York, NY 10010",+19175405600,N/A,"Mexican, Wine Bars, Cocktail Bars"
14,Casa Nono,4.5,"499 Myrtle Ave, Brooklyn, NY 11205",+16467509156,N/A,Mexican
15,Mitica,4.5,"222 Franklin St, Brooklyn, NY 11222",,N/A,Mexican
16,Home Made Taqueria,4.5,"517 Meeker Ave, Brooklyn, NY 11222",+13475990090,N/A,Mexican
17,Taqueria Ramirez,4.5,"94 Franklin St, Brooklyn, NY 11222",,$$,Mexican
18,La Diaspora,4.5,"91 Baxter St, New York, NY 10013",+16467999379,N/A,"Latin American, Cocktail Bars"
19,Casa Bocado,4.5,"341 Broome St, New York, NY 10013",+12122047502,N/A,"Mexican, Latin American, Cocktail Bars"
20,La Contenta,4.5,"102 Norfolk St, New York, NY 10002",+12124324180,$$,"Mexican, Bars, Breakfast & Brunch"
21,Ruta Oaxaca Mexican Cuisine,4.5,"35-03 Broadway, Astoria, NY 11106",+19293491228,$$$,"Mexican, Breakfast & Brunch, Cocktail Bars"
22,Taquito,4.5,"96 S St, Tin Building, New York, NY 10038",+16468686000,N/A,Tacos
23,345 Cantina,4.5,"345 E 6th St, New York, NY 10003",+13478487734,N/A,"Mexican, Cocktail Bars, Breakfast & Brunch"
24,Chela Park Slope,4.5,"408 5th Ave, Brooklyn, NY 11215",+17187011891,$$,"Mexican, Cocktail Bars, Breakfast & Brunch"
25,Taqueria al Pastor,4.5,"128 Wyckoff Ave, Brooklyn, NY 11237",+17182697538,$,Tacos
26,Taqueria Casa Imelda,4.5,"82 S 4th St, Brooklyn, NY 11249",+13474575992,N/A,Mexican
27,Bar Lula,4.5,"132 1st Ave, New York, NY 10009",+12127277900,N/A,"Cocktail Bars, Mexican, Latin American"
28,Taqueria Mariposa Rosa,4.5,"55 Grove St, New York, NY 10014",+19173593254,N/A,"Tacos, Cocktail Bars"
29,Fonda Tribeca,4.5,"139 Duane St, New York, NY 10013",+19172616950,$$$,Mexican
30,Sobre Masa,4.5,"52 Harrison Pl, Brooklyn, NY 11237",+13478442343,N/A,"Mexican, Cocktail Bars"
31,Taqueria Nixtamal,4.5,"115 Delancey St, The Market Line, New York, NY 10002",+19176004732,N/A,Tacos
32,Xixa,4.5,"241 S 4th St, Brooklyn, NY 11211",+17183888860,$$$,"Mexican, Tapas/Small Plates, Cocktail Bars"
33,Superbueno,4.5,"13 1st Ave, East Village, NY 10003",,N/A,"Mexican, Cocktail Bars"
34,Bar Verde,4.5,"65 2nd Ave, New York, NY 10003",+12127776965,$$,"Mexican, Vegan, Gluten-Free"
35,Jajaja Mexicana,4.5,"119 Kent Ave, Brooklyn, NY 11249",+18604792872,$$,"Mexican, Vegan, Cocktail Bars"
36,De Mole,4.5,"2 Hope St, Brooklyn, NY 11211",+13477213399,N/A,"Mexican, Breakfast & Brunch, Cocktail Bars"
37,Mictlan Mexico,4.5,"17 Orchard St, New York, NY 10002",+19174095553,$$,Mexican
38,Nacho Macho Taco,4.5,"82 5th Ave, Brooklyn, NY 11217",+17186228282,$,Mexican
39,Jajaja Mexicana,4.5,"450 W 33rd St, Whole Foods, New York, NY 10001",+19177228419,N/A,"Mexican, Bars"
40,Purepecha,4.5,"213 Smith St, Brooklyn, NY 11201",+13479161227,$$,Mexican
41,Bar San Miguel,4.5,"307 Smith St, New York, NY 11231",+17185763852,$$,"Mexican, Cocktail Bars, Venues & Event Spaces"
42,Yellow Rose,4.5,"102 3rd Ave, New York, NY 10003",+12125298880,N/A,Tex-Mex
43,Vida Verde,4.5,"248 W 55th St, New York, NY 10019",+16466570565,$$,"Cocktail Bars, Mexican, Venues & Event Spaces"
44,Bosco,4.5,"169 Bleecker St, New York, NY 10012",,N/A,"Cocktail Bars, Mexican, Breakfast & Brunch"
45,Mona Ayala Mexican Market And Food,5.0,"746 Myrtle Ave, Brooklyn, NY 11205",+13473655954,N/A,Mexican
46,Domingo's at The Woods,5.0,"48 S 4th St Brooklyn Ny, New York, NY 11249",+13473313478,N/A,"Mexican, American"
47,El Diablito Taqueria,4.0,"60 E 3rd St, New York, NY 10003",+16466929268,$,Mexican
48,Taqueria Al Pastor,4.0,"119 Court St, Brooklyn, NY 11201",+13472944381,$$,Mexican
49,The Cactus Shop,4.0,"231 Kent Ave, Brooklyn, NY 11249",+13477498474,$$,"Cocktail Bars, Speakeasies, Mexican"
50,La Contenta Oeste,4.0,"78 W 11th St, New York, NY 10011",+12125332233,$$,"Mexican, Breakfast & Brunch, Cocktail Bars"
51,Arre Sinaloa,5.0,"4605 Park Ave, Union City, NJ 07087",+12014309897,N/A,Mexican
52,Ayy Chihuahua,5.0,"36-16 Ditmars Blvd, Queens, NY 11105",+13476491023,N/A,"Mexican, Cocktail Bars"
53,Cascalote,5.0,"1712 2nd Ave, New York, NY 10128",+19172658577,N/A,"Mexican, Latin American"
54,Jajaja Mexicana,4.5,"162 E Broadway, New York, NY 10002",+16468835453,$$,"Mexican, Vegan, Bars"
55,Alma Negra,4.5,"494 4th Ave, Brooklyn, NY 11215",,N/A,"Mexican, Cocktail Bars, Salad"
56,Jajaja Mexicana,4.5,"63 Carmine St, New York, NY 10014",+19172620184,$$,"Mexican, Vegan, Cocktail Bars"
57,Tacos Los Poblanos,4.5,"5320 5th Ave, Brooklyn, NY 11220",+13476412092,$,"Mexican, Food Trucks"
58,Frida Midtown,4.5,"214 E 52nd St, New York, NY 10022",+12126885200,$$$,"Mexican, Peruvian, Cocktail Bars"
59,Bar Bruno,4.5,"560 Manhattan Ave, Brooklyn, NY 11222",+17183890011,$$,"Bars, Mexican"
60,Birria LES,4.5,"34 St Marks Pl, New York, NY 10003",,N/A,Tacos
61,Molcajetes,4.5,"520 West Side Ave, Jersey City, NJ 07304",+12012009390,N/A,Mexican
62,Nenes Taqueria,4.5,"660 Degraw St, Brooklyn, NY 11217",+19296074551,N/A,Mexican
63,Tacombi,4.5,"242 Metropolitan Ave, Brooklyn, NY 11211",+17185993496,$$,Mexican
64,Tacoria,4.5,"24-26 Erie st, Jersey City, NJ 07302",+12017929041,$$,Tacos
65,Nai ,4.5,"84 2nd Ave, New York, NY 10003",+12126771030,$$$,"Tapas/Small Plates, Spanish"
66,Las Santas,4.0,"572 Fulton St, Brooklyn, NY 11217",+17182225919,$$,"Mexican, Cocktail Bars, Breakfast & Brunch"
67,Oxomoco,4.0,"128 Greenpoint Ave, Brooklyn, NY 11222",+16466884180,$$$,Mexican
68,Claro,4.0,"284 3rd Ave, Brooklyn, NY 11215",+13477213126,$$,"Mexican, New Mexican Cuisine, Cocktail Bars"
69,Taqueria St. Marks Place,4.0,"79 St Marks Pl, New York, NY 10003",+16469645614,$$,Mexican
70,Casa Enrique,4.0,"5-48 49th Ave, Long Island City, NY 11101",+13474486040,$$,Mexican
71,Covacha,4.0,"368 Columbus Ave, New York, NY 10023",+12127122929,$$,Mexican
72,Mermaid Mexicana,4.0,"79 MacDougal St, New York, NY 10012",+12124008800,N/A,Mexican
73,Acapulco Restaurant,4.0,"1116 Manhattan Ave, Ste 2-L, Brooklyn, NY 11222",+17183498429,$,"Mexican, Sandwiches, New American"
74,De Mole,4.0,"4502 48th Ave, Woodside, NY 11377",+17183922161,$$,Mexican
75,Boqueria Soho,4.0,"171 Spring St, New York, NY 10012",+12123434255,$$,"Spanish, Tapas Bars, Tapas/Small Plates"
76,Alta Calidad,4.0,"552 Vanderbilt Ave, Brooklyn, NY 11238",+17186221111,$$,Mexican
77,El Zason,4.0,"491 Atlantic Ave, Brooklyn, NY 11217",+17186832217,$$,Mexican
78,Jefe Tacos,4.0,"445 Albee Square W, Brooklyn, NY 11201",+17183049979,N/A,Tacos
79,Taqueria Mexico 2000,4.0,"131 Grand St, Brooklyn, NY 11249",+17183959985,N/A,Mexican
80,Panzón,4.0,"23 Greenpoint Ave, Brooklyn, NY 11222",,N/A,Mexican
81,Tacombi,4.0,"74 Broad St, New York, NY 10004",+19172617136,$$,"Mexican, Cocktail Bars, Breakfast & Brunch"
82,SOL Mexican Cocina,4.0,"220 5th Ave, New York, NY 10001",+12126217671,N/A,"Mexican, Bars, Breakfast & Brunch"
83,Anejo Tribeca,4.0,"301 Church St, New York, NY 10013",+12129206270,$$,"Mexican, Tapas/Small Plates, Tapas Bars"
84,El Vez Burrito Bar,4.0,"259 Vesey St, New York, NY 10282",+12122332500,$$,"Mexican, Salad, Breakfast & Brunch"
85,Seeyamañana,4.0,"49 West 27th St, New York, NY 10001",+19173741682,N/A,"Mexican, Cocktail Bars"
86,Tacovision,4.0,"244 E 53rd St, New York, NY 10004",+16469211990,$$,"Tacos, Tapas/Small Plates, Cocktail Bars"
87,DORADO Tacos & Quesadillas,4.0,"28 E 12th St, New York, NY 10003",+12126270900,$,"Mexican, Gluten-Free"
88,Xochitl Taqueria,4.0,"176 Smith St, Brooklyn, NY 11201",+13475992226,N/A,Mexican
89,Tacos Morelos,4.0,"183 Bedford Ave, Brooklyn, NY 11222",+16464049080,$,"Mexican, Food Trucks, Soup"
90,Taqueria Tepango,4.0,"568 Myrtle Ave, Brooklyn, NY 11205",+17186368878,$,Mexican
91,MEXiCUE,4.0,"225 5th Ave, New York, NY 10010",+13322633200,$$,Mexican
92,Cafe Habana,4.0,"17 Prince St, New York, NY 10012",+12126252001,$$,"Cuban, Mexican"
93,Javelina,5.0,"30 Vandam St, New York, NY 10013",+19177812224,N/A,"Mexican, Salad, Steakhouses"
94,Tortilleria Mexicana Los Hermanos,4.0,"271 Starr St, Brooklyn, NY 11237",+17184563422,$,Mexican
95,Toloache 50,4.0,"251 West 50th St, New York, NY 10012",+12125811818,$$$,Mexican
96,tán,4.0,"209 E 49th St, New York, NY 10017",+19173882248,N/A,"Latin American, Mexican"
97,Leyenda,4.0,"221 Smith St, Brooklyn, NY 11201",+13479873260,$$,"Latin American, Mexican, Cocktail Bars"
98,Mesa Coyoacan,4.0,"372 Graham Ave, Brooklyn, NY 11211",+17187828171,$$,"Mexican, Bars"
99,Mcondo Tacos,4.0,"502 Grand St, Brooklyn, NY 11211",+19176991090,$$,"Mexican, Bars, Breakfast & Brunch"
100,Luchadores,4.0,"87 South St, New York, NY 10038",+19174093033,$$,Mexican
101,El Mexicano Restaurante & Cafe,5.0,"1013 E 14th St, Brooklyn, NY 11230",+19177899823,N/A,"Mexican, Juice Bars & Smoothies, Fast Food"
